Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L03-L14,L03,American Museum of Natural History,L14,St. Patrick's Cathedral,2.53,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L15,L03,American Museum of Natural History,L15,Bryant Park,3.17,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L16,L03,American Museum of Natural History,L16,NYPL — Schwarzman Building,3.2,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L17,L03,American Museum of Natural History,L17,Grand Central Terminal,3.18,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L18,L03,American Museum of Natural History,L18,Tudor City Overpass,3.6,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L19,L03,American Museum of Natural History,L19,United Nations Headquarters,3.57,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L20,L03,American Museum of Natural History,L20,Moynihan Train Hall,3.79,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L21,L03,American Museum of Natural History,L21,Herald Square,3.64,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L22,L03,American Museum of Natural History,L22,Empire State Building,3.79,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L23,L03,American Museum of Natural History,L23,Madison Square Garden,3.8,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L24,L03,American Museum of Natural History,L24,Gerald Schoenfeld Theatre — Broadway,2.78,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L25,L03,American Museum of Natural History,L25,Times Square,2.86,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L26,L03,American Museum of Natural History,L26,Flatiron Building,4.67,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L27,L03,American Museum of Natural History,L27,The Battery,9.41,Metrô/ônibus + caminhada,38,50,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L28,L03,American Museum of Natural History,L28,Chinatown — Columbus Park,7.68,Metrô/ônibus + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L29,L03,American Museum of Natural History,L29,Brooklyn Bridge,8.62,Metrô/ônibus + caminhada,36,50,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L30,L03,American Museum of Natural History,L30,DUMBO — Washington & Water,8.78,Metrô + caminhada,40,50,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L31,L03,American Museum of Natural History,L31,Brooklyn Bridge Park — Pier 1,9.01,Metrô + caminhada,41,55,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L32,L03,American Museum of Natural History,L32,Brooklyn Heights Promenade,9.51,Metrô + caminhada,43,55,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L05,L04,New York Aquarium,L05,Coney Island Boardwalk,0.31,Caminhada,3,5,Alta,Mesmo cluster; tempo operacional curto.
L04-L06,L04,New York Aquarium,L06,QC NY Spa,13.66,Ferry + metrô/ônibus/caminhada,78,90,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L04-L07,L04,New York Aquarium,L07,WORLD SPA,4.55,Metrô (F) + caminhada,20,25,Média,Ligação relativamente direta pelo sul do Brooklyn.
L04-L08,L04,New York Aquarium,L08,ARTE MUSEUM New York,19.48,Metrô + caminhada,77,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L09,L04,New York Aquarium,L09,Chelsea Market,18.81,Metrô + caminhada,75,90,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L10,L04,New York Aquarium,L10,High Line — Chelsea/Gansevoort,18.86,Metrô + caminhada,76,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L11,L04,New York Aquarium,L11,Little Island,18.88,Metrô + caminhada,76,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L12,L04,New York Aquarium,L12,MoMA,20.82,Metrô + caminhada,81,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L13,L04,New York Aquarium,L13,Rockefeller Center,20.52,Metrô + caminhada,81,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L14,L04,New York Aquarium,L14,St. Patrick's Cathedral,20.48,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L15,L04,New York Aquarium,L15,Bryant Park,19.96,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L16,L04,New York Aquarium,L16,NYPL — Schwarzman Building,19.9,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L17,L04,New York Aquarium,L17,Grand Central Terminal,19.84,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L18,L04,New York Aquarium,L18,Tudor City Overpass,19.42,Metrô + caminhada,77,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L19,L04,New York Aquarium,L19,United Nations Headquarters,19.5,Metrô + caminhada,77,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L20,L04,New York Aquarium,L20,Moynihan Train Hall,19.75,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L21,L04,New York Aquarium,L21,Herald Square,19.59,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L22,L04,New York Aquarium,L22,Empire State Building,19.38,Metrô + caminhada,77,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L23,L04,New York Aquarium,L23,Madison Square Garden,19.65,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L24,L04,New York Aquarium,L24,Gerald Schoenfeld Theatre — Broadway,20.5,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L25,L04,New York Aquarium,L25,Times Square,20.36,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L26,L04,New York Aquarium,L26,Flatiron Building,18.57,Metrô + caminhada,75,90,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L27,L04,New York Aquarium,L27,The Battery,14.68,Metrô + caminhada,63,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L28,L04,New York Aquarium,L28,Chinatown — Columbus Park,15.78,Metrô + caminhada,66,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L29,L04,New York Aquarium,L29,Brooklyn Bridge,14.71,Metrô + caminhada,63,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L30,L04,New York Aquarium,L30,DUMBO — Washington & Water,14.38,Metrô/ônibus + caminhada,59,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L31,L04,New York Aquarium,L31,Brooklyn Bridge Park — Pier 1,14.32,Metrô/ônibus + caminhada,59,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L04-L32,L04,New York Aquarium,L32,Brooklyn Heights Promenade,13.83,Metrô/ônibus + caminhada,57,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L06,L05,Coney Island Boardwalk,L06,QC NY Spa,13.7,Ferry + metrô/ônibus/caminhada,78,90,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L05-L07,L05,Coney Island Boardwalk,L07,WORLD SPA,4.68,Metrô (F) + caminhada,22,27,Média,Ligação relativamente direta pelo sul do Brooklyn.
L05-L08,L05,Coney Island Boardwalk,L08,ARTE MUSEUM New York,19.56,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L09,L05,Coney Island Boardwalk,L09,Chelsea Market,18.89,Metrô + caminhada,76,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L10,L05,Coney Island Boardwalk,L10,High Line — Chelsea/Gansevoort,18.94,Metrô + caminhada,76,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L11,L05,Coney Island Boardwalk,L11,Little Island,18.95,Metrô + caminhada,76,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L12,L05,Coney Island Boardwalk,L12,MoMA,20.94,Metrô + caminhada,82,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L13,L05,Coney Island Boardwalk,L13,Rockefeller Center,20.63,Metrô + caminhada,81,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L14,L05,Coney Island Boardwalk,L14,St. Patrick's Cathedral,20.6,Metrô + caminhada,81,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L15,L05,Coney Island Boardwalk,L15,Bryant Park,20.07,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L16,L05,Coney Island Boardwalk,L16,NYPL — Schwarzman Building,20.01,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L17,L05,Coney Island Boardwalk,L17,Grand Central Terminal,19.96,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L18,L05,Coney Island Boardwalk,L18,Tudor City Overpass,19.55,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L19,L05,Coney Island Boardwalk,L19,United Nations Headquarters,19.63,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L20,L05,Coney Island Boardwalk,L20,Moynihan Train Hall,19.84,Metrô + caminhada,79,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L21,L05,Coney Island Boardwalk,L21,Herald Square,19.69,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L22,L05,Coney Island Boardwalk,L22,Empire State Building,19.48,Metrô + caminhada,77,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L23,L05,Coney Island Boardwalk,L23,Madison Square Garden,19.75,Metrô + caminhada,78,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L24,L05,Coney Island Boardwalk,L24,Gerald Schoenfeld Theatre — Broadway,20.61,Metrô + caminhada,81,100,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L25,L05,Coney Island Boardwalk,L25,Times Square,20.46,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L26,L05,Coney Island Boardwalk,L26,Flatiron Building,18.67,Metrô + caminhada,75,90,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L27,L05,Coney Island Boardwalk,L27,The Battery,14.74,Metrô + caminhada,63,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L28,L05,Coney Island Boardwalk,L28,Chinatown — Columbus Park,15.87,Metrô + caminhada,67,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L29,L05,Coney Island Boardwalk,L29,Brooklyn Bridge,14.8,Metrô + caminhada,63,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L30,L05,Coney Island Boardwalk,L30,DUMBO — Washington & Water,14.48,Metrô/ônibus + caminhada,59,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L31,L05,Coney Island Boardwalk,L31,Brooklyn Bridge Park — Pier 1,14.4,Metrô/ônibus + caminhada,59,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L05-L32,L05,Coney Island Boardwalk,L32,Brooklyn Heights Promenade,13.91,Metrô/ônibus + caminhada,58,70,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L06-L07,L06,QC NY Spa,L07,WORLD SPA,9.31,Ferry + metrô/ônibus/caminhada,65,75,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L08,L06,QC NY Spa,L08,ARTE MUSEUM New York,6.11,Ferry + metrô/ônibus/caminhada,44,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L09,L06,QC NY Spa,L09,Chelsea Market,5.57,Ferry + metrô/ônibus/caminhada,43,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L10,L06,QC NY Spa,L10,High Line — Chelsea/Gansevoort,5.54,Ferry + metrô/ônibus/caminhada,43,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L11,L06,QC NY Spa,L11,Little Island,5.49,Ferry + metrô/ônibus/caminhada,43,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L12,L06,QC NY Spa,L12,MoMA,8.36,Ferry + metrô/ônibus/caminhada,52,65,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L13,L06,QC NY Spa,L13,Rockefeller Center,8.04,Ferry + metrô/ônibus/caminhada,51,65,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L14,L06,QC NY Spa,L14,St. Patrick's Cathedral,8.1,Ferry + metrô/ônibus/caminhada,51,65,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L15,L06,QC NY Spa,L15,Bryant Park,7.36,Ferry + metrô/ônibus/caminhada,48,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L16,L06,QC NY Spa,L16,NYPL — Schwarzman Building,7.35,Ferry + metrô/ônibus/caminhada,48,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
